id,domain,url,crawled_date,ten,gia_ban,nam_san_xuat,xuat_xu,tinh_trang,kieu_dang,so_km_da_di,mau_ngoai_that,mau_noi_that,so_cua,so_cho_ngoi,nhien_lieu,hop_so,dan_dong,dung_tich_xi_lanh,thong_tin_mo_ta
3f9ed6cc-a6ec-434f-b30d-90e847e1c5be,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4416105/",1656771822.987921,xe kia cerato 1.6 at luxury,599000000.0,2019,trong nước,cũ,sedan,58269 km,đen,đen,4 cửa,5 chỗ,xăng, tự động,fwd,1591 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
84bd66e1-0baa-4397-bbcf-8b9e6967b2b8,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4427728/",1656771823.157897,xe mazda 3 s 1.6,409000000.0,2014,trong nước,cũ,sedan,68101 km,vàng,đen,4 cửa,5 chỗ,xăng, tự động,fwd,1584 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
eb1ea6b5-f3c8-4fbf-85e3-b07e9ffe4df2,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4413961/",1656771823.212287,xe kia rio 1.4,418000000.0,2015,nhập khẩu,cũ,hatchback,90509 km,đỏ,đen,5 cửa,5 chỗ,xăng, tự động,fwd,1396 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
9e249dfe-e5b3-4c62-bbcb-5856393b79bf,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4459136/",1656771823.393397,xe mazda 2 s,328000000.0,2013,trong nước,cũ,hatchback,80852 km,trắng,đen,5 cửa,5 chỗ,xăng, tự động,fwd,1496 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
02d62cfb-605e-4714-8979-fd0c8c93e3c4,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4459378/",1656771823.476599,xe kia rio 1.4,419000000.0,2015,nhập khẩu,cũ,hatchback,50294 km,trắng,đen,5 cửa,5 chỗ,xăng, tự động,fwd,1396 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
d6ee6100-e50f-45fa-bfd3-1f9d43284291,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4459406/",1656771823.544635,xe ford focus trend 1.5l,525000000.0,2018,trong nước,cũ,hatchback,42056 km,trắng,đen,5 cửa,5 chỗ,xăng, tự động,fwd,1499 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
c2f98fb5-adbb-41e5-a7a1-8bd7d2ba1f41,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4422668/",1656771823.915781,xe mazda 6 premium 2.0,796000000.0,2021,trong nước,cũ,sedan,10500 km,xanh,xám,4 cửa,5 chỗ,xăng, tự động,fwd,1998 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
07172308-7143-4b19-aacc-be500b8ac30c,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4459435/",1656771823.983304,xe toyota yaris 1.5,338000000.0,2011,nhập khẩu,cũ,hatchback,99336 km,bạc,kem,5 cửa,5 chỗ,xăng, tự động,fwd,1497 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
5f90c294-fe89-478c-a0fb-ebf4eb70a2d9,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4458770/",1656771824.034672,xe mazda 2 luxury,499000000.0,2019,nhập khẩu,cũ,sedan,35271 km,nâu,đen,4 cửa,5 chỗ,xăng, tự động,fwd,1496 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
d934fe22-118b-40fe-ada9-d29570522456,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4372584/",1656771824.076667,xe kia carens sxat,365000000.0,2013,trong nước,cũ,crossover,68305 km,vàng,đen,5 cửa,7 chỗ,xăng, tự động,fwd,1998 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản"
