id,domain,url,crawled_date,ten,gia_ban,nam_san_xuat,xuat_xu,tinh_trang,dong_xe,so_km_da_di,mau_ngoai_that,mau_noi_that,so_cua,so_cho_ngoi,nhien_lieu,he_thong_nap_nhien_lieu,hop_so,dan_dong,tieu_thu_nhien_lieu,dung_tich_xi_lanh,thong_tin_mo_ta
50a3bbad-c08c-4c59-8c10-3f936af4f886,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4413961/",1656780825.661831,xe kia rio 1.4,418000000.0,2015,nhập khẩu,cũ,hatchback,90509 km,đỏ,đen,5 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,1396 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
c6040c96-5076-4569-9add-cbed4eb1b160,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4416105/",1656780825.710376,xe kia cerato 1.6 at luxury,599000000.0,2019,trong nước,cũ,sedan,58269 km,đen,đen,4 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,1591 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
07aa9da6-2ced-4e4d-a89b-8c631173bbb3,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4427728/",1656780825.729897,xe mazda 3 s 1.6,409000000.0,2014,trong nước,cũ,sedan,68101 km,vàng,đen,4 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,1584 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
d4dd6661-5cf9-4e27-8ef0-f61a08f7ead8,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4459136/",1656780825.797592,xe mazda 2 s,328000000.0,2013,trong nước,cũ,hatchback,80852 km,trắng,đen,5 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,1496 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
e440e479-3280-4492-a47f-2d95129906b4,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4459378/",1656780825.861483,xe kia rio 1.4,419000000.0,2015,nhập khẩu,cũ,hatchback,50294 km,trắng,đen,5 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,1396 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
e327573e-b606-4ea8-9e19-fa7950a1748c,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4459406/",1656780825.888517,xe ford focus trend 1.5l,525000000.0,2018,trong nước,cũ,hatchback,42056 km,trắng,đen,5 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,1499 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
36432d05-f908-4a01-91aa-63a10d649bbb,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4458705/",1656780825.934077,xe kia cerato 1.6 at deluxe,571000000.0,2019,trong nước,cũ,sedan,16001 km,trắng,xám,4 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,1591 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
c8e50f2d-ad49-4c92-b4b0-48767c4646f7,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4459435/",1656780826.011911,xe toyota yaris 1.5,338000000.0,2011,nhập khẩu,cũ,hatchback,99336 km,bạc,kem,5 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,1497 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
7e6e1447-8bb5-4700-a135-538bc815d364,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4456896/",1656780826.175896,xe hyundai i10 grand 1.2,375000000.0,2018,trong nước,cũ,sedan,43767 km,trắng,kem,4 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,1248 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
cca75170-8b60-4540-a7a4-fc68bdcbac27,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4358113/",1656780826.218145,xe ford fiesta s 1.0at ecoboost,395000000.0,2016,trong nước,cũ,hatchback,58197 km,đỏ,nhiều màu,5 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,998 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
